Name,Base,Snippet,PopupInfo,x,y
دار الشباب maison de jeune,0.0,,,6.5685615,36.0397191
Placemark,0.0,,,7.8974536,36.7277625
Salle des fêtes Seboui,0.0,,,-1.8388809,35.0793934
Salle des fêtes Lalla Maghnia,0.0,,,-1.12267,35.3263425
Maison de jeunes,0.0,,,0.1014657,35.9612101
Salle de sport,0.0,,,1.2459056,36.2356696
Maison de jeunes,0.0,,,-0.6935784,35.1637597
Salle Omnisport,0.0,,,7.7606579,35.2587467
Scouts musulmans algériens الكشافة الاسلامية الجزائرية,0.0,,,2.7714447,36.6373005
دار البلدية,0.0,,,6.5836933,36.2515671
Placemark,0.0,,,0.0619978,35.5910098
المجاهد صديقي إدريس,0.0,,,5.5445177,22.7707821
Placemark,0.0,,,4.5004802,36.6209384
Placemark,0.0,,,0.205956,35.7565336
Placemark,0.0,,,3.0027176,36.5245417
Salle des fêtes Racha,0.0,,,2.7401775,36.2724467
Placemark,0.0,,,-0.5654009,35.7171268
CAM,0.0,,,7.752662,36.8975264
نادي متعدد اللغات سطيف,0.0,,,5.4120709,36.1908634
دار الشباب أحمد بتشين,0.0,,,8.3098966,36.7668461
مركز التكوين المهني,0.0,,,0.0866519,35.1158589
Salle des fêtes Silini,0.0,,Salle des fêtes,6.9184275,36.8616825
بلدية بنايرية,0.0,,,1.3728819,36.3536118
Salle des fetes Alicia ZIZI,0.0,,,5.2242243,36.6443925
Salle des fêtes Beldi Events,0.0,,,2.8067995,36.6997582
Salle des fêtes قاعة الحفلات,0.0,,,2.7794565,36.6389142
تاوريرت لمصافة,0.0,,,-0.2520215,27.43887
Salle des fêtes,0.0,,,3.8813077,36.3690495
مركز التعليم المكثف للغات سابقا قسم الإنجليزية قاعات الدراسة,0.0,,,5.7488426,34.8461432
قرية الوسطية كيمل تكوت باتنة,0.0,,,6.4286307,35.127715
Salle des fêtes La Belle Terrasse,0.0,,,4.0592959,36.7116525
Dar Tidjani,0.0,,,5.7098502,34.8635839
Salle de conférence de l'APC,0.0,,Salle de conférence de l'APC,5.0768153,36.128028
Placemark,0.0,,,-0.1657164,35.7935615
Salle des fêtes lala zohra,0.0,,,-0.6266201,35.2048754
سيدي لخضر بن خلوف,0.0,,,0.440243,36.1650304
مسجد أبي ذر الغفاري,0.0,,,3.4384582,36.3684232
دار الشباب صيفور أحمد,0.0,,,5.9579057,36.8230357
مركز آفاد بولاية السمارة,0.0,,,-7.8267459,27.4925924
Placemark,0.0,,,3.2369509,36.7177272
Placemark,0.0,,,3.2371204,36.7173677
السنيترة المنظر الجميل,0.0,,,3.0827009,36.7235489
كارتي شينوا، المنظر الجميل,0.0,,,3.0849284,36.7226991
Salle des fêtes Razan,0.0,,,4.5499398,35.7357271
Placemark,0.0,,,4.1597718,36.8953107
Placemark,0.0,,,-0.2686024,35.8021055
الهلال الاحمر الجزائري,0.0,,,5.3844939,34.726512
Placemark,0.0,,,-0.14438,34.7360883
Community Media Trust,0.0,,,-0.0761631999999,34.7083185
Kisumu Yatch Club,0.0,,,-0.1232187,34.7454566
Mission of Love Support,0.0,,,-0.0775083,34.762695
Obunga Social Hall,0.0,,,-0.0809649999999,34.76546
United Destiny Shapers,0.0,,,-0.1198867,34.7640733
Agape Children's Ministry,0.0,,,-0.0959781999999,34.7684063
Nyalenda Vocational Training Center,0.0,,,-0.1131867,34.7693783
St. Edward Nyalenda Catholic Centre,0.0,,,-0.1130433,34.7703067
Makasembo Social Hall,0.0,,,-0.1014483,34.7692167
Kisumu Innovation Centre Kenya,0.0,,,-0.0956833,34.7671653
Manyatta Community Social Centre,0.0,,,-0.0890717,34.7816967
Nyaweri Deaf Centre,0.0,,,-0.09064,34.77177
Raila Hall,0.0,,,-0.0931701,34.767538
Salle des fêtes,0.0,,,3.2493264,36.7865583
salle des fêtes roustomia,0.0,,,3.0027008,36.7732387
salle des fêtes rostomia,0.0,,,3.0027714,36.7729716
Placemark,0.0,,,0.0650783,35.589233
دار الشباب,0.0,,,-0.5697036,35.6473729
قاعة متعددة الرياضات نكروفي قويدر,0.0,,,-1.035975,34.9022988
CNEG,0.0,,,-0.6441922,35.7008006
Placemark,0.0,,,3.1777675,36.711761
Salle des fêtes Ysref,0.0,,,3.6919336,36.6379974
Salle des fêtes Assirem,0.0,,salle des fêtes,4.9614996,36.7196572
Placemark,0.0,,,-0.6089562,35.6882649
Placemark,0.0,,,-0.5683923,35.7224952
village bel ahcen,0.0,,,-1.5117684,34.7148862
Maison de Jeunes,0.0,,,-1.3851147,35.3042043
Placemark,0.0,,,6.1220106,36.0543208
salle des fêtes Houri,0.0,,,5.403471,36.3167417
Placemark,0.0,,,6.2015728,36.7095048
Placemark,0.0,,,5.9129907,36.8139347
Placemark,0.0,,,5.922782,36.7576949
Placemark,0.0,,,5.9665066,36.7763077
Placemark,0.0,,,6.1024493,36.7024282
Placemark,0.0,,,6.1340634,36.6736848
Placemark,0.0,,,6.0507229,36.852803
Placemark,0.0,,,5.58079,36.5869276
Placemark,0.0,,,6.1422873,36.8596207
الملحقة البلدية بني مسلم,0.0,,,6.133398,36.8346418
Placemark,0.0,,,6.1667513,36.6006565
Placemark,0.0,,,5.7756369,36.6931129
Placemark,0.0,,,6.0792606,36.6470881
المركز الثقافي الشهيد سعيود بوجمعة,0.0,,,6.2035276,36.7087865
Placemark,0.0,,,6.2228465,36.6822783
الفرع البلدي جيمار,0.0,,,5.9473666,36.8029442
الفرع البلدي المنازل أولاد عسكر,0.0,,,6.0624631,36.6450681
